Solicitation ID,Solicitation Title,Description Text,FPDS Code,FPDS Org ID,SAM Organization Name,Parent Opportunity ID,Modified By,Created By,Modified Timestamp,Created Timestamp,Site Page,Source Website
N0038324QD055,1680 - Repair of NIIN 016017101,"NSN 7R-1680-016017101-E7, REF NR 8360296-001, QTY 8 EA, DELIVERY FOB ORIGIN.



This part requires engineering source approval by the design control activity
in order to maintain the quality of the part. Existing unique design
capability, engineering skills, and manufacturing/repair knowledge by the
qualified source(s) require acquisition/repair of the part from the approved
source(s). The approved source(s) retain data rights, manufacturing /repair
knowledge, or technical data that are not economically available to the
Government, and the data or knowledge is essential to maintaining the quality
of the part. An alternate source must qualify in accordance with the design
control activitys procedures, as approved by the cognizant Government
engineering activity.
The qualification procedures must be approved by the
Government engineering activity having jurisdiction over the part in the
intended application.

The subject item requires Government source approval prior to contract award,
as the item is flight critical and/or the technical data available has not
been determined adequate to support acquisition via full and open competition.
Only the source(s) previously approved by the Government for this item have
been solicited.
The time required for approval of a new source is normally
such that an award cannot be delayed pending approval of a new source. If you
are not an approved source you must submit, together with your proposal, the
information detailed in one of the NAVSUP Weapon Systems Support (NAVSUP WSS)
Source Approval Information Brochures listed below.

Spares:
https://www.navsup.navy.mil/NAVSUP-Enterprise/NAVSUP-Weapon-Systems-Sup
port/Business-Opps/
Repair: https://www.navsup.navy.mil/NAVSUP-Enterprise/NAVSUP

-Weapon-Systems-Support/Business-Opps/
technical data required to be submitted based on your companys experience in
production of the same or similar item, or if this is an item you have never
made.

If your request for source approval is currently being evaluated at NAVSUP WSS
submit with your offer a copy of the cover letter which forwarded your request
for source approval.
Offers received which fail to provide all data required
by the Source Approval Brochure or document previous submission of all data
required by the Source Approval Brochure will not be considered for award
under this solicitation.
Please note, if evaluation of a source approval
request submitted hereunder cannot be processed in time and/or approval
requirements preclude the ability to obtain subject items in time to meet
Government requirements, award of the subject requirement may continue based
on Fleet support needs. The NAVSUP WSS Commercial Item Identification
Brochure is now available at:
https://www.navsup.navy.mil/NAVSUP-Enterprise/NAVSUP-Weapon-Systems-Support/Business-Opps/

Interested parties may obtain copies of Military and Federal Specifications and
Standards, Qualified Products Lists (QPLs), Qualified Product Databases(QPDs),
Military Handbooks, and other standardized documents from the DoD Single Stock
Point (DODSSP) at Document Automation and Production Service(DAPS) in
Philadelphia, PA.

NOTE: Patterns, Drawings, Deviation Lists, Purchase Descriptions, etc.
are NOT
stocked at DODSSP.

Most documents are available in Adobe PDF format from ASSIST-Online at:
http://quicksearch.dla.mil/.
Users may use ASSIST-Quick Search to search for and download available
documents directly using standard browser software.

Documents that are not available for downloading from ASSIST-Quick Search can
be ordered from the DODSSP website using the ASSIST Shopping Wizard after
obtaining a DODSSP Customer Account by following the registration procedures.

Users who do not have access to the internet may contact the DODSSP ASSIST Help
Desk at 215-697-2667 or 215-697-2179 (DSN: 442-2667), or mail their request to
DLA Document Services, Bldg.
4/D, 700 Robbins Avenue, Philadelphia PA
19111-5094.

The proposed contract action is for supplies or services for which the
Government intends to solicit and negotiate with only one source under the
authority of FAR 6.302-1 - Raytheon Company.
All responsible sources may identify their interest
and capability to respond to the requirement or submit proposals, quotations or
capability statements. This notice of intent is not a request for competitive
proposals. However, all proposals received within 45 days (30days if award is
issued under an existing Basic Ordering Agreement (BOA) after date of
publication of this synopsis will be considered by the Government. A
determination by the Government not to compete with this proposed contract
based upon responses to this notice is solely within the discretion of the
Government.
Information received will normally be considered solely for the
purpose of determining whether to conduct a competitive procurement.

Award will be made only if the offeror, the product/service, or the
manufacturer meets the qualification requirement(s) at time of award, in
accordance with FAR clause 52.209-1.
The solicitation identifies the office
where additional information can be obtained concerning qualification
requirements and is cited in each individual solicitation.

Based upon market research, the Government is not using the policies contained
in FAR Part 12, Acquisition of Commercial Items, in its solicitation for the
described supplies or services. However, interested persons may identify to the
contracting officer their interest and capability to satisfy the Governments
requirement with a commercial item within 15 days of this notice.",1700,N00383,NAVSUP WEAPON SYSTEMS SUPPORT,c846890a0dad49d99804f291bacdd7cc,christian.m.markle.civ@us.navy.mil,christian.m.markle.civ@us.navy.mil,2025-08-08 21:45:41.085000+00:00,2025-08-08 21:45:40.990000+00:00,https://www.highergov.com/contract-opportunity/N0038324QD055-Presolicitation-dd7cc,https://sam.gov/opp/bc1f6f7ba68c4a01beafd0e7d2b45449/view
SPE4A525R0291,"NSN: 1280-010899980, ELECTRON TUBE-YOKE, WSDC: 04F, AIRCRAFT, STRATOFORTRESS B-52","PLEASE REVIEW THE BELOW NSN AND PROVIDE US WITH ANY SOURCES THAT ARE ABLE TO MANUFACTURE THE ITEM. PLEASE ALSO PROVIDE THE LOCATION (CITY AND STATE) OF THE MANUFACTURER AND POINTS OF CONTACT. PLEASE PROVIDE THIS TO BAILEY MIKOS AT BAILEY.MIKOS@DLA.MIL.



NSN: 1280-010899980 ; Part Number: 4038074-901

THIS SOURCES SOUGHT IS FOR INFORMATIONAL PURPOSES ONLY. THIS IS NOT A REQUEST FOR A PROPOSAL. IT DOES NOT CONSTITUTE A SOLICITAITON AND SHALL NOT BE CONSTRUED AS A COMMITMENT BY THE GOVERNMENT. RESPONSES IN ANY FORM ARE NOT OFFERS AND THE GOVERNMENT IS UNDER NO OBLIGATION TO AWARD A CONTRACT AS A RESULT OF THIS ANNOUNCEMENT. NO FUNDS ARE AVAILABLE TO PAY FOR PREPARATION OF RESPONSES TO THIS ANNOUNCEMENT. ANY INFORMATION SUBMITTED BY RESPONDENTS TO THIS TECHNICAL DESCRIPTION IS STRICTLY VOLUNTARY.

DLA-Aviation can only receive Source Approval Requests (SAR) through DoDSafe link due to internet/web safety concerns.  To submit your SAR please send an email to: dlaavnsmallbus@dla.mil, subject line &quot;Request a SAR drop off&quot;. Include CAGE code, the NSN and the email address where you want to receive the DoDSafe link.  After your email is received, a DoDSafe drop off will be returned, where you can download your SAR file.

NSN: 1280-010899980, ELECTRON TUBE-YOKE

Quantity: 33

APPROVED SOURCE: HONEYWELL INTERNATIONAL INC. 07187 P/N 4038074-901
",97AS,SPE4A5,DLA AVIATION,cb52e9c25938431695a377681bf3c01b,bailey.mikos@dla.mil,bailey.mikos@dla.mil,2025-08-08 18:38:31.957000+00:00,2025-08-08 18:29:56.890000+00:00,https://www.highergov.com/contract-opportunity/SPE4A525R0291-Sources_Sought-3c01b,https://sam.gov/opp/cb52e9c25938431695a377681bf3c01b/view
SPE7L125R0098,"Connecting Link, Rig","NSN 3040-00-361-2781.  This is a 3/C



The required quantity is 2,280 Each with a possible 50% quantity option and a required delivery in 848 days.  FOB Origin  and Inspection and Acceptance at Origin. This material is not commercial; therefore, the Government is not using the policies contained in FAR Part 12 in its solicitation for this item.  This solicitation will be available on the Internet at https://www.dibbs.bsm.dla.mil// around  8/25/2025  Due to system constraints, it may take as long as 3 business days from the stated date for the solicitation to post to DIBBS.  Technical drawings/bid sets are available to JCP certified vendors.  Hard copies of this solicitation are not available.  While price may be a significant factor in the evaluation of offers, proposals will be evaluated according to &ldquo;best value&rdquo; procedures on the basis of Price, Past Performance, and Delivery.  All offers shall be in English and in US dollars.  One or more of the items under this acquisition may be subject to an Agreement on Government Procurement approved and implemented in the US by the Trade Agreements Act of 1979.



DLA has enhanced its Joint Certification Program (JCP) registration and validation procedures.  Selected National Stock Numbers (NSNs) will require additional permissions to access the associated technical data.

In the event a vendor cannot access the technical data for a NSN in DLA cFolders, the vendor must submit a onetime request to jcpvalidation@dla.mil for technical data access consideration.  If a vendor has inquiries after having submitted required information to the JCP office, these inquiries are to be directed to DLAJ344DataCustodian@dla.mil.



DLA processes the vendor&#39;s technical data request on a first come, first served basis.  Failure to comply timely with required information may result in lack of consideration for DLA solicitations.  It is vitally important that vendors provide correct company official name(s) and contact information in all correspondence.  DLA will work diligently on validating vendor requests.  Vendors will be notified within three business days of when their requests were approved.  However, DLA cannot guarantee that it can complete all validation requests by the due date for any solicitation responses. 



Technical drawings/bid sets are available after the issue date on the Internet at https://www.dibbs.bsm.dla.mil/ through cFolders&rsquo; under the &lsquo;Technical Data&rsquo; tab.  Requests should include the RFP number, opening/closing date, NSN, PR number, buyer&rsquo;s name and your complete name and address.  FEDERAL, MILITARY AND COMMERCIAL SPECIFICATIONS CANNOT BE PROVIDED BY DSCC. Interested parties may obtain copies of Military and Federal Specifications and Standards, Qualified Products Lists, Military Handbooks, and other standdardization documents from the DoD Single Stock Point DODSSP in Philadelphia, PA. Most documents are available in Adobe PDF format from the ASSIST-Quick Search and in most cases can be downloaded directly via the internet using standard browser software. Documents not available for downloading from ASSIST can be ordered from the DODSSP using the ASSIST Shipping Wizard after establishing a DODSSP Customer Account by following the registration procedures or by phoning the DODSSP Special Assistance Desk at (215) 697-6396/6257 (DSN: 442-6396/6257.  Users without access to the Internet may contact:

DODSSP

Bldg. 4/D

700 Robbins Avenue, Philadelphia, PA 19111-5094

Patterns, Drawings, Deviations Lists, Purchase Description, ect,. Are not stocked at the DODSSP.





UPLOAD PROPOSAL THROUGH DIBBS (PREFERRED METHOD)

To submit an offer through DIBBS, search for the solicitation and then click the Red &quot;Offer&quot; button on the search results screen (Note:  users must be logged in to DIBBS in order to submit the offer through DIBBS).  For additional guidance, refer to https://www.dibbs.bsm.dla.mil/refs/help/Solicitations/DIBBS-Upload-Offer-User-Help.pdf



EMAIL PROPOSALS TO:amber.weaver@dla.mil

A single email cannot exceed 15 MB.  Proposals greater than 15 MB must be divided into multiple emails.















SYNOPSIS - ADDRESS BLOCK



DEFENSE LOGISTICS AGENCY

LAND and MARITIME

3990 EAST BROAD STREET
",97AS,SPE7L1,DLA LAND AND MARITIME,2bff6ee7388842ceb95ff899fabe2659,amber.weaver@dla.mil,amber.weaver@dla.mil,2025-08-08 17:59:00.680000+00:00,2025-08-08 17:49:19.949000+00:00,https://www.highergov.com/contract-opportunity/SPE7L125R0098-Presolicitation-e2659,https://sam.gov/opp/2bff6ee7388842ceb95ff899fabe2659/view
FD20202500838,FD20202500838,"Noun: Wheel Assembly, Landing Gear
NSN: 1630-01-298-2516
P/N: 220A123-2
Qty: 2
Action Type: Supply
Anticipated Delivery Schedule: 18 Apr, 2027
Anticipated Award: FY 2025
The Government intends to issue a Firm-Fixed-Price (FFP) sole source solicitation/contract to Jay-Em Aerospace Corporation (Cage Code 23233). Jay-Em Aerospace owns the data rights for the referenced NSN and is currently the only approved source for this requirement.
",5700,FA8203,FA8203  AFSC PZAAB2,14b4cab8cb86443d8826120b536e8427,jayson.skow@us.af.mil,jayson.skow@us.af.mil,2025-08-08 16:57:42.664000+00:00,2025-08-08 16:53:33.782000+00:00,https://www.highergov.com/contract-opportunity/FD20202500838-Presolicitation-e8427,https://sam.gov/opp/14b4cab8cb86443d8826120b536e8427/view
140D0425Q0706,16--IGNITION SWITCHES FOR ALASKA AIRCRAFT,"The Acquisition Services Directorate (AQD), Interior Business Center (IBC), intends to award a firm-fixed price contract on a sole source basis to Cub Crafters, Inc. 1918 S 16th Ave Yakima, Washington 98903 for 100 aircraft ignition switches and 300 identically cut keys with delivery no later than September 30th, 2025. Award of this requirement will be in accordance with Federal Acquisition Regulation 13 Simplified Acquisition Procedures. THIS NOTICE OF INTENT IS NOT A REQUEST FOR QUOTES. A determination by the Contracting Officer not to compete this proposed contract based on this notice is solely within the discretion of the Government. If you feel that your firm possesses the ability to provide this supply, you must respond by 18 August 2025, 11:00 a.m. EST. Your responses may be submitted via e-mail to maya_maxies-clemons@ibc.doi.gov. ",1406,4,IBC ACQ SVCS DIRECTORATE (00004),a5e6e9d9486e4308b42cb65236cda1fb,fbms_acq@ios.doi.gov,fbms_acq@ios.doi.gov,2025-08-08 16:16:02.928000+00:00,2025-08-08 16:15:59.478000+00:00,https://www.highergov.com/contract-opportunity/140D0425Q0706-Special_Notice-da1fb,https://sam.gov/opp/a5e6e9d9486e4308b42cb65236cda1fb/view
SPE8ED25Q0947,"39--BINDER,LOAD","Proposed procurement for NSN 3990013230771 BINDER,LOAD:
Line 0001 Qty 224    UI EA  Deliver To: W1A8 DLA DISTRIBUTION By: 0090 DAYS ADO
Approved sources are 08484 14579-1; 31272 48357-11; 6V4L8 48357-11; 94658 15MTC/1530.
The solicitation is an RFQ and will be available at the link provided in this notice.  Hard copies of this solicitation are not available. Specifications, plans, or drawings are not available.
All responsible sources may submit a quote which, if timely received, shall be considered.
Quotes may be submitted electronically.
",97AS,SPE8ED,DLA TROOP SUPPORT,2cc1d719da39418d9730387c77e6b818,robert.2.gee@dla.mil,robert.2.gee@dla.mil,2025-08-08 15:26:14.688000+00:00,2025-08-08 15:26:14.635000+00:00,https://www.highergov.com/contract-opportunity/SPE8ED25Q0947-Combined_Synopsis_Solicitation-6b818,https://sam.gov/opp/2cc1d719da39418d9730387c77e6b818/view
SPE4AK25R0009,"NSN:1560-015027380, REPAIR KIT","SYNOPSIS:

This is for a pending Kitting Solicitation SPE4AK25R0009 and what will be required. Kitting consists of Government Furnished Material (GFM) and Contract Furnished Material (CFM) If you are an interested in becoming a kitting vendor, you should have:


	Registered in SAM&rsquo;s
	An approved DCMA approved Government Property Management Plan(see local DCMA for information)
	Approved CFM source(s)
	Reviewed attached Statement of Work of a previous solicitation.
	Reviewed aviation kitting website https://www.dla.mil/Aviation/Offers/Kitting/ 


PR 7012977381 is FOB Destination, I/A Origin. NSN:1560-015027380 is a REPAIR KIT. This 1/G solicitation is for a quantity of 13 Kits. Solicitation is being solicited as 100% total small business set-aside. The approved source:

IAW BASIC DRAWING NR 13873 AV8KT0004

REVISION NR DTD 09/18/2013

PART PIECE NUMBER:



The required delivery is 261 days ARO. The final contract award decision may be based upon a combination of price, past performance, and other evaluation factors as described in the solicitation. The solicitation issue date is or around 08/22/2025.

This solicitation includes provision 52.215-9023, Reverse Auction. Since a Reverse Auction may be conducted, offerors are encouraged to access the ProcureX system to self-register and review the available training tools at: dla.procurexinc.com  to learn more about how to participate in an auction. Offerors who do not self-register will be loaded at the time of auction by DLA.&rdquo;

A copy of the solicitation will be available via the DIBBS Website https://www.dibbs.bsm.dla.mil/  on the issue date cited in the RFP. From the DIBBS Homepage, select &ldquo;Requests for Proposal (RFP) / Invitation For Bid (IFB)&rdquo; from the menu under the tab &ldquo;Solicitations.&rdquo; Then search for and choose the RFP you wish to download. RFPs are in portable document format (PDF). To download and view these documents you will need the latest version of Adobe Acrobat Reader. This software is available free at: http://www.adobe.com. A paper copy of this solicitation will not be available to requestors.
",97AS,SPE4AK,DEFENSE LOGISTICS AGENCY (DLA),5708f7cc87724edabb7398e7c1cb6bbc,ive.allen@dla.mil,ive.allen@dla.mil,2025-08-08 15:13:07.604000+00:00,2025-08-08 15:06:29.567000+00:00,https://www.highergov.com/contract-opportunity/SPE4AK25R0009-Presolicitation-b6bbc,https://sam.gov/opp/5708f7cc87724edabb7398e7c1cb6bbc/view
70Z08525QRJ001B00,FOG INS FY25,"Amendment A00004_08/08/2025

Please reference the Amendment A00004 and revised Solicitation dated 08 August 2025. 

----------------------------------------------------------------

Amendment A00003_08/06/2025

Please reference the Amendment A00003. 

---------------------------------------------------------------------

Amendment A00002_07/25/2025

Please refernce the Amendment A00002. 

-----------------------------------------------------------------------

Amendment A00001_ 07/22/2025. 

   - Please refernce the amendment. Changes include revised due date and answers questions received to date. 



The United States Coast Guard (USCG) Long Range Enforcer (LRE) Product Line has a supply acquisition contract for the procurement of seven (7) Fiber Optic Gyrocompass (FOG) Inertial Navigation Systems (INS), or newer design. Desired systems are mission-critical, providing essential position, heading, and motion vector data feeds to integrated command/control architectures, navigation subsystems, tactical weapons platforms, indispensable for national security and national defense operations The INS will be installed on the USCG WMSL-class cutters, also known as National Security Cutters (NSCs) or Maritime Security Cutters, Large (WMSL). The parts that make up the INS shall be manufactured IAW the tech standards specifications, materials, tolerances and must adhere to the form, fit, and function. SEE: Attachment 1_Specification_FOG INS
",7008,70Z085,SFLC PROCUREMENT BRANCH 2(00085),1e8ed7d8365848f89d16ca688be99ffa,mark.cap@uscg.mil,mark.cap@uscg.mil,2025-08-08 15:11:50.523000+00:00,2025-08-08 15:09:29.761000+00:00,https://www.highergov.com/contract-opportunity/70Z08525QRJ001B00-Combined_Synopsis_Solicitation-99ffa,https://sam.gov/opp/9355154ddd304347b4823152bedb922b/view
FD2030-26-00116,FD2030-26-00116,"NSN:  2840-01-312-2267NZ

NOUN:  SHROUD SEGMENT, TURB

TOP DRAWING:  4076826-02

EDL REVISION &amp; DATE:  7  /  07 FEB 2020

MDC CODE:  W9F

IM NAME:  DYER, ANDREW P.
",97AS,DLA AV OKLAHOMA CITY,DLA AVIATION OKLAHOMA CITY,1fb1448d2f9646b9aefa25ade2d7def1,tiffany.do@us.af.mil,tiffany.do@us.af.mil,2025-08-08 13:39:34.106000+00:00,2025-08-08 13:33:16.997000+00:00,https://www.highergov.com/contract-opportunity/FD2030-26-00116-Special_Notice-7def1,https://sam.gov/opp/1fb1448d2f9646b9aefa25ade2d7def1/view
N0025326R7001,TIH 28/30/32 Industry Day,"*****UPDATED AS OF 8 AUG 2025*****

TIH 28/30/32 Industry Day Presentation and Q&amp;A posted.



*****UPDATED AS OF 29 JUL 2025*****

In advance of TIH Industry Day, and in an effort to provide interested attendees with an EXAMPLE of TIH-related technical drawings, the government is re-posting the technical data package (TDP) and solicitation document from TI-26.  This information is provided as a SAMPLE only, and DOES NOT reflect the specific requirements of TIH 28/30/32.  

Drawings are unclassified technical information related to the Program Executive Office Submarines TIH effort and are restricted by the Arms Export Control Act.  In accordance with Department of Defense (DOD) Direction 5230.25, access to export-controlled technical data must be through the company&rsquo;s designated Joint Certification Program (JCP) Point of Contract (POC)/Data Custodian.

The solicitation, including all attachments, are available on the Electronic Technical Information Center (E-TIC).  To apply for access to the E-TIC for the TIH 28/30/32 sample technical data hosted by the Advanced Interactive Management Technology Center (AIMTC), prospective Offerors must have either a Common Access Card (CAC) or a DoD External Certification Authority (ECA) Certification from one of the DoD Approved Vendors: WidePoint (formerly ORC) or IdenTrust, Inc.  For more information pertaining to approved ECA certificates, please visit the website: https://public.cyber.mil/eca/.  The prospective Offeror must be able to supply its JCP number.  The Offeror&rsquo;s designated JCP Data Custodian must be the one to apply for access by filling out an AIMTC Account Request form.  To apply for access, please visit the AIMTC website: https://aimtc.nuwc.navy.mil.

For a New AIMTC Account Requests: Please fill out the AIMTC Access Request Form (within #1). 

For an Existing AIMTC User: Please click on &ldquo;My Profile&rdquo; and update your profile.

The following fields must be completed as shown:

&lsquo;Name&rsquo;:                                               Enter first name, middle initial, and last name

&#39;Foreign National?&rsquo;:                              Select yes or no from drop down box

&ldquo;Email Address&rsquo;:                                  Company email address (the use of personal email address are prohibited:  i.e., Gmail, Yahoo, etc.)

&#39;Branch&#39; or &#39;Code&#39; you support:              NAVSEA PMS 425

&#39;Phone Number&#39;:                                   Requestor&#39;s phone number

&#39;Navy Sponsor POC&#39;:                            Chris Halterman

&#39;Navy Sponsor Code&#39;:                            NUWCDIVKPT C432

&#39;Justification for your need to know&#39;:      Prospective Offeror for the Technical Insertion Hardware
Competition, JCP # ____________

Scroll down to the bottom of the page and expand &quot;Electronic Technical Information Center (E-TIC)&quot; and  select &quot;ETIC for TIH 28/30/32 Solicitation&quot; as the area for which you have a &#39;need to know&#39;.  Read and certify the understanding of User&rsquo;s Responsibilities.  Click send at the bottom of the page.  Upon approval by the Approving Official, your account will be created and you will be notified of your account information via email.

Please note that you will not be able to access E-TIC for TIH 28/30/32 until your account request is approved by the Approving Official and processed.  For AIMTC account access issues, please contact the AIMTC Webmaster at NUWC_NPT_AIMTC_Webmaster@navy.mil.

No bidders list will be maintained by this office.  No telephone or fax requests for the solicitation package will be accepted.  Failure to respond to the electronically posted solicitation and associated amendments prior to the date and time set for receipt of offers my render the offer non-responsive and result in rejection of same.

Offerors must have a current registration in the System for Award Management (SAM) database.   All responsible sources may submit a proposal which shall be considered by the agency.  All inquiries shall be submitted in writing via email to KYPT_TeamSub_TIH@navy.mil.

This sample information will remain available for review through 30 SEP 2025, after which it will be removed.

The official TIH 28/30/32 TDP will be posted when solicitation N0025326R7001 is released.

********************************************************

Naval Sea Systems Command, Naval Undersea Warfare Center Division, Keyport will host the Technology Insertion Hardware (TIH) 28/30/32 Industry Day.  

TIH makes up the vast majority of the Combat Control System (BYG-1) shipset and is also a part of the Sonar shipset.

The TIH 28/30/32 contract will provide the latest generation hardware to Team Submarine platforms.

Anticipated components include


	Computer processing and memory
	Data storage and extraction
	Input/Output (I/O) interfaces to support processing systems designed around commercially available hardware and software
	Implementation of virtualization


Procurements may include


	Upgrade kits, enclosures, and/or full-up systems for the SSBN, 688/688i, VIRGINIA Class, COLLINS Class, COLUMBIA Class, and future submarine systems/platforms.


The event location is the Naval Undersea Museum, Jack Murdock Auditorium

Date of the event is August 6, 2025

Time of the event is 1:00pm - 3:30pm 

This event is hosted in conjunction with Keyport Industry Day.  Event details and registration are available in that posting.  Search SAM.gov for notice ID N00253-TIH-ID-2025.

Contact Lesley Grafe at lesley.l.grafe.civ@us.navy.mil or Katie Harrigan at kathleen.r.harrigan.civ@us.navy.mil for information concerning the TIH Industry Day. 
",1700,N00253,NAVAL UNDERSEA WARFARE CENTER,a68836668323473e9a89e5039785931c,kathleen.harrigan@navy.mil,kathleen.harrigan@navy.mil,2025-08-08 13:19:31.323000+00:00,2025-08-08 13:09:21.442000+00:00,https://www.highergov.com/contract-opportunity/N0025326R7001-Special_Notice-5931c,https://sam.gov/opp/6f9e2f8de0c6484fb1e096dcb8d2d553/view
