Solicitation ID,Solicitation Title,Description Text,Agency Name,Posted Timestamp,Posted Date,Response Timestamp,Response Deadline,Response Timezone,Opportunity Type,Set Aside Code,NAICS,NAICS Title,PSC,PSC Description,Primary Contact Title,Primary Contact Name,Primary Contact Email,Primary Contact Phone,Primary Contact Fax,Secondary Contact Title,Secondary Contact Name,Secondary Contact Email,Secondary Contact Phone,Secondary Contact Fax,Place of Performance Street Address,Place of Performance Street Address2,Place of Performance City,Place of Performance State,Place of Performance Zip,Place of Performance Country Code,Place of Performance Country,Related Opportunity Id,Award Date,Award Amount,Award Number,Delivery Order Number,Award Justification,Awardee Name,Awardee UEI,Awardee CAGE Code,Awardee Line Item,FPDS Code,FPDS Org ID,SAM Organization Name,Parent Opportunity ID,Modified By,Created By,Modified Timestamp,Created Timestamp,Source Website
,PCS JTF Industry Day,"As part of its ongoing market research, the PCS Joint Task Force (JTF) is pleased to announce an upcoming Industry Day for the Household Goods (HHG) Relocation Services initiative.

Date: 
12 August 2025
Time: 
0800 &ndash; 1600 (CST) (0700 registration begins)
Location:  
Regency O&#39;Fallon, 400 Regency Park, O&#39;Fallon, IL

The PCS JTF reserves the right to adjust event details as relevant or necessary.

Industry Day Standards of Conduct and Plan of Action are being provided. (8/6/2025)
",United States Transportation Command,2025-08-06 14:25:07.759000+00:00,8/6/2025,,,,Special Notice,,488510,Freight Transportation Arrangement ,V119,Other Cargo and Freight Services,,Chris Frost,christopher.t.frost4.civ@mail.mil,618-817-9394,,,PCS JTF Registration,transcom.scott.tcaq.mbx.pp-ghc-contract-admin@mail.mil,,,,,Scott Air Force Base,IL,,USA,UNITED STATES,,,,,,,,,,,9776,HTC711,USTRANSCOM-AQ,516ae17169a5436c8441d67fb0cebd6b,andrew.s.mcclain2.civ@mail.mil,andrew.s.mcclain2.civ@mail.mil,2025-08-06 14:25:07.766000+00:00,2025-08-06 14:16:51.997000+00:00,https://sam.gov/opp/d189691934b84fa2b9382fe702303c1a/view
FA558725Q1009,Custom Clearance,"HM Revenue and Customs permit USAFE-UK HNCC/ Transportation &amp; Customs, as owner of the US Visiting Force special format (non-VAT) EORI, to appoint agents for electronic/automated clearance if cargo meets Visiting Forces Relief Customs Procedure Code criteria. The service provider shall comply with the responsibilities and tasks outlined in this PWS. The appointed customs agent (known herein as Service Provider) shall:


	Provide Customs Clearance Services for United States Visiting Forces United Kingdom, and their authorized components within a 3 business day working period.The service provider shall enter Data into HM Revenue and Custom Service (HMRC) Customs Declaration System (CDS) computer program, provided to them on a Pro-Forma document created by USAFE-UK HNCC/T&amp;C, to accomplish the customs clearance. No more than 3 validated errors within a 30 calendar day period are allowed.The provider shall be required to have a working copy of CDS and access to HMRC customs portals to enter the data provided by USAFE-UK HNCC/T&amp;C.The service provider shall use innovative approaches to efficiently and effectively accomplish PWS tasks, functions, and requirements in a quality manner at reduced costs- producing savings whenever possible and fostering pride and ownership in work performed.
	The service provider shall suggest amendments to proposed procedures as appropriate for US Government discussion with HMRC USVF Policy.
	The service provider shall provide trained and competent customs service agents that can consistently provide services IAW the requirements of the USVF customs applicable standards and guidelines. Customs clearance in CDS allows USVF to be exempt from import duty and VAT which will require the service provider to assure this exemption is met. This will be measured by notifications of cargo being cleared and no charges for USVF for those exempt areas.

",U.S. Air Forces Europe and Africa,2025-08-05 15:37:04.597000+00:00,8/5/2025,2025-08-12 13:00:00+00:00,8/12/2025,Europe/London,Synopsis Solicitation,,488510,Freight Transportation Arrangement ,R706,Logistics Support Services,,Nathan Worswick,nathan.worswick@us.af.mil,3142261782,,,Valerie Cuevas,valerie.cuevas@us.af.mil,3142261965,,,,RAF Mildenhall,GB-SFK,,GBR,UNITED KINGDOM,,,,,,,,,,,5700,FA5587,FA5587  48 CONS,3162fd34269447f186d726865d7ca805,valerie.cuevas@us.af.mil,valerie.cuevas@us.af.mil,2025-08-05 15:37:04.603000+00:00,2025-08-05 13:16:24.628000+00:00,https://sam.gov/opp/3162fd34269447f186d726865d7ca805/view
N6660425Q0464,NUWCDIVNPT Import/Export Services,"The Naval Undersea Warfare Center Division, Newport (NUWCDIVNPT) intends to award a Firm Fixed Price (FFP) and Cost Reimbursable (CR) type contract for Professional Import/Export custom Brokerage Services in accordance with the attached Statement of Work and the Contract Data Requirements List (CDRLs) for one (1) base year with four (4) one (1) year option periods. See the attached Combined Synopsis/Solicitation.

Amendment #1- The purpose of this amendment is to answer an industry question as detailed below:

Q: Is there any incumbent/recompete or this is a brand-new project? If yes, could you please provide us with their award number or even if the customer bought similar services in the past.

A:  This is a follow-on to N66604-20-P-0343.

Amendment #2- The purpose of this amendment is to answer an industry question as detailed below. All other solicitation terms and conditions remain unchanged. 



1. Would be allowed to participate in the delivery of each potential product movement? Or do you have 3rd party companies already in place for delivery? In other words do we get exclusivity to all deliveries and freight forward logistics?

1A. Requirements tasked to a freight forward import export broker will develop the shipment plan which may have them execute the movement or at their discretion with Government concurrence have third party commercial transportation service provider execute the movement.

2. How much was the last incumbent awarded contract total value paid for the last 12 months. Logistics import export broker side only, and how many hours. Who was it? 

2A. The current contract is a completion type effort with an estimate of 750 hours to complete the transportation services.  JCI is the incumbent. To date, for option year 4, the incumbent has been paid $106,493.00.

3. Is there an extension to the July 31 deadline? We may need an additional week as we are just now looking at all the details. 

3A. The Government does not plan on extending the deadline past July 31st 2025 at this time.

4. I did not see a Q and A from other bidders. If one exists, please send it. Our capabilities in partnership are highlighted on our website.

4A. As we receive questions we will answer them and post them so the public can see the questions and answers.
",NUWC Newport Division,2025-07-30 11:52:37.552000+00:00,7/30/2025,2025-07-31 18:00:00+00:00,7/31/2025,America/New_York,Synopsis Solicitation,SBA,488510,Freight Transportation Arrangement ,V119,Other Cargo and Freight Services,,Zachary Silveira,zachary.g.silveira.civ@us.navy.mil,4018325760,,,Michael N. Ouellette,Michael.n.ouellette.civ@us.navy.mil,4018325568,,,,Newport,RI,2841,USA,UNITED STATES,,,,,,,,,,,1700,N66604,NUWC DIV NEWPORT,09e9117a5912412dbfa941c4b799c8d5,zachary.g.silveira.civ@us.navy.mil,zachary.g.silveira.civ@us.navy.mil,2025-07-30 11:52:37.554000+00:00,2025-07-30 11:49:57.285000+00:00,https://sam.gov/opp/a5a32157b41448c09aee52d791a15927/view
M00264-25-RFI-038,"Request for Information - Moving Services, CH-46E Helicopter from Udvar Hazy to Marine Corps Museum, Virginia","The United States Marine Corps (USMC) has an upcoming requirement for the following:

Relocation of a Boeing Vertol CH-46E helicopter from the National Air and Space Museum to NMMC in Dumfries, VA. The aircraft shall be loaded at National Air and Space Museum Steven F. Udvar-Hazy Center in Chantilly VA and transported to its destination at the National Museum of the Marine Corps&rsquo; Museum Support Facility, where it is to be unloaded.

Please see attached for full description.
",Marine Corps Installations - National Capital Region,2025-07-28 12:36:30.336000+00:00,7/28/2025,2025-07-30 15:00:00+00:00,7/30/2025,America/New_York,Sources Sought,,488510,Freight Transportation Arrangement ,V119,Other Cargo and Freight Services,,David Laster,david.laster@usmc.mil,,,,,,,,,,Triangle,VA,22172,USA,UNITED STATES,,,,,,,,,,,1700,M00264,"COMMANDER, MCINCR-MCBQ",b2dec38c5452471d92864066c45d09c4,david.laster@usmc.mil,david.laster@usmc.mil,2025-08-02 04:04:39.073000+00:00,2025-07-28 12:35:10.407000+00:00,https://sam.gov/opp/f90c517c27ce4ef5971bd159a1d38b61/view
M68450-25-Q-T002,Barge Service in Palau 1-8 August 2025,"ANNOUNCEMENT OF AMENDMENT:

**** Solicitation is being amended via amendment 0001 to answer questions submitted by vendors. Be advised, due to sytem issues, an SF30 is not available at this time. An SF30 will be provided as soon as the issues are resolved. If no SF30 can be issued prior to offer due date, quoatations submitted shall still acknowledge the information contained within this amendment. All other terms and conditions remain the same.****



All equipment will arrive at the Peleliu airfield sometime between 1&ndash;8 August 2025. Once all equipment arrives, the contractor will deliver all equipment to Malakal Port. This movement will require the contractor to perform the movements detailed in Task 1 and Task 2 in section 5.0 of the PWS. The period of performance will end once all equipment has safely arrived at Peleliu airfield, as determined by technical point of contact. Incidental service includes but not limited
to, operating, providing, maintaining, material handling and transportation equipment, providing equipment necessary for securing loads, providing competent operators for supporting equipment and refueling equipment, and storage as needed.
",Marine Corps,2025-07-19 18:53:32.649000+00:00,7/19/2025,2025-07-20 07:00:00+00:00,7/20/2025,Asia/Tokyo,Synopsis Solicitation,,488510,Freight Transportation Arrangement ,V124,Marine Charter for Things,,Calvin Stigall,calvin.stigall@usmc.mil,,,,GySgt Brennan Pedraza,Brennan.j.pedraza@usmc.mil,,,,,Port of Embarkation,,,PLW,PALAU,,,,,,,,,,,1700,M68450,COMMANDING GENERAL (M68450),713d9ec3b6f7402f9e2fa71f10b79003,calvin.stigall@usmc.mil,brennan.j.pedraza@usmc.mil,2025-08-05 04:00:07.925000+00:00,2025-07-18 03:59:03.749000+00:00,https://sam.gov/opp/c4f2713bfd91460d8dcb3dd1ceb9eb58/view
FA558725Q0069,Custom Clearance Services,"HM Revenue and Customs permit USAFE-UK HNCC/ Transportation &amp; Customs, as owner of the US Visiting Force special format (non-VAT) EORI, to appoint agents for electronic/automated clearance if cargo meets Visiting Forces Relief Customs Procedure Code criteria. The service provider shall comply with the responsibilities and tasks outlined in the PWS.

Amendment 1: Added Attachment 4 - PWS.

Amendment 2: Updated Combo/Solicitation Document / Updated Pricing Schedule / Updated Provisions &amp; Clauses / Updated PWS / Updated PSC.

Amendment 3: Uploaded Vendor Questions &amp; Answers.

Amendment 4: Uploaded Pro-Forma example for each mode of transportation. (Combined-PDF has multiple examples within the single document)
",U.S. Air Forces Europe and Africa,2025-07-02 09:37:36.408000+00:00,7/2/2025,2025-07-11 11:00:00+00:00,7/11/2025,Europe/London,Solicitation,,488510,Freight Transportation Arrangement ,R706,Logistics Support Services,,Nathan Worswick,nathan.worswick@us.af.mil,314-226-1782,,,Valerie Cuevas,valerie.cuevas@us.af.mil,3142261965,,,,RAF Lakenheath,GB-SFK,,GBR,UNITED KINGDOM,268af3ed45f1431790c05c8522c136aa,,,,,,,,,,5700,FA5587,FA5587  48 CONS,7ecda9832f0b47e28f2e99424cc2a379,nathan.worswick@us.af.mil,nathan.worswick@us.af.mil,2025-07-27 03:55:47.261000+00:00,2025-07-02 09:20:13.353000+00:00,https://sam.gov/opp/7eca5701e884457eacd49d6742c0edf6/view
M00264-25-RFI-031,"Request for Information - Moving Services, WW2-Era Antique Military Tank & 16 Boxes/Pallets","The United States Marine Corps (USMC) has a requirement for moving services of one macroartifact, a WW2-era M4A3 Sherman tank and sixteen (16) pallets and boxes of support materials.

The work will include:


	Moving services of one macroartifact, an M4A3 Sherman tank and sixteen (16) pallets and boxes of support materials. Services required include crane support to lift the tank from Pima Air and Space Museum in Tucson, Arizona onto an RGN trailer, transportation of the tank and supporting equipment to the National Museum of the Marine Corps (NMMC) Museum Support Facility in Dumfries, Virginia, and crane support to lift the tank off upon arrival.
	The move includes a variety of tasks associated with moving historical objects including staging and securing items for long distance transportation. This will require two trucks; one RGN, one box truck.  A 120-ton crane will be required both to load and unload the tank.


Please see attached Request for Information / Sources Sought for additional details.
",Marine Corps Installations - National Capital Region,2025-06-25 12:25:58.374000+00:00,6/25/2025,2025-06-30 15:00:00+00:00,6/30/2025,America/New_York,Sources Sought,,488510,Freight Transportation Arrangement ,V119,Other Cargo and Freight Services,,David Laster,david.laster@usmc.mil,,,,,,,,,,Quantico,VA,22134,USA,UNITED STATES,,,,,,,,,,,1700,M00264,"COMMANDER, MCINCR-MCBQ",ca4b7524d5b743da993371d99b2663d6,david.laster@usmc.mil,david.laster@usmc.mil,2025-07-16 03:55:47.283000+00:00,2025-06-25 12:24:02.175000+00:00,https://sam.gov/opp/ebcc082836d14e8b81e2eca30fbee1ec/view
20151544,Domain Awareness Persistent Surveillance (DAPS) Helium Trailer Transportation,"United States Customs and Border Protection (USCBP) will solicit proposals from Small Businesses to provide direction and methodology for pickup, transportation, and delivery of helium trailers to and from TARS, TMSS, and TAS field sites. Activities will provide continued support of Customs and Border Protection, Air &amp; Marine Operations, providing wide-area persistent long-range detection and monitoring (radar and electro-optical/infrared surveillance) for interdicting low-level air, maritime, and surface illicit activities along the United States-Mexico border, the Florida Straits, and a portion of the Caribbean. The DAPS Directorate requires contracted labor services to support, manage, and maintain all requirements.
",CBP Office of Information and Technology,2025-06-04 11:32:31.689000+00:00,6/4/2025,2025-06-19 12:00:00+00:00,6/19/2025,America/New_York,Presolicitation,SBA,488510,Freight Transportation Arrangement ,8145,Specialized Shipping and Storage Containers,,Somer Nastick,somer.nastick@cbp.dhs.gov,,,,,,,,,,Yuma,AZ,85365,USA,UNITED STATES,,,,,,,,,,,7014,AMBTCD,AIR AND MARINE CTR DIV,935592460338477ca71dd9cc9ec5542f,somer.nastick@cbp.dhs.gov,somer.nastick@cbp.dhs.gov,2025-06-19 04:04:38.514000+00:00,2025-06-04 11:23:11.985000+00:00,https://sam.gov/opp/935592460338477ca71dd9cc9ec5542f/view
M2900025Q3005,Customs Broker - Australia,"**AMENDMENT 1 posted on 21 May 2025. Please see attached Questions and Answers, in addition to revised PWS and Request for Quotes (RFQ) Amendment. 

Subject: Customs Broker Services  

This is a combined synopsis/solicitation for commercial items prepared in accordance with the format in FAR Subpart 12.6, as supplemented with additional information included in this notice. This announcement constitutes the only solicitation; quotes are being requested and a written solicitation will not be issued. This procurement is under Full and Open Competition under NAICS code 488510. An Offeror&rsquo;s submission of a quote does not constitute a contract or authorize work to begin. This document is not legally binding and does not commit the US Government in any way. 

This solicitation document and incorporated provisions and clauses are those in effect through Federal Acquisition Circular 2025-03 and Defense Federal Acquisition Regulations Supplement Publication Notice (DPN) 20250117.

In accordance with the PWS - United States Marine Corps (USMC) is requesting to employ a customs broker to coordinate through Australian Border Force Customs and with arriving and departing United States military forces. The Customs Broker services will include all documentation for the cargo to enter and depart the country of Australia. 
",Marine Corps,2025-05-21 10:06:38.683000+00:00,5/21/2025,2025-05-27 06:00:00+00:00,5/27/2025,Asia/Tokyo,Synopsis Solicitation,,488510,Freight Transportation Arrangement ,M2BZ,Husbanding Services—Other Port Services,,Christopher Echavarria,chris.echavarria@usmc.mil,,,,,,,,,,Sydney,AU-NSW,,AUS,AUSTRALIA,,,,,,,,,,,1700,M29000,COMMANDING GENERAL,96f55897e35d4b0e928008ee298845ab,chris.echavarria@usmc.mil,chris.echavarria@usmc.mil,2025-06-12 03:55:46.349000+00:00,2025-05-21 09:50:59.004000+00:00,https://sam.gov/opp/8a3d54a3a997418aaf6adc43c232de89/view
19PE5025Q0021,"Int'l Freight Forwarding, Shipping, Packing","International Freight Forwarding, Shipping and Packing services for the International Narcotics and Law enforcement (INL), see full specifications of this requirement in the attached RFQ package.
",U.S. Embassy In Lima,2025-04-14 13:47:38.782000+00:00,4/14/2025,2025-04-23 13:00:00+00:00,4/23/2025,America/Lima,Synopsis Solicitation,,488510,Freight Transportation Arrangement ,V112,Motor Freight,,Curt Whittaker,whittakerct@state.gov,5116182196,,,Saul E Espinoza,espinozase@state.gov,5116182160,,,,Lima,,1,PER,PERU,,,,,,,,,,,1900,PE500,U.S.EMBASSY LIMA,f6215c010131498fb8c4d6b60c8ac3df,whittakerct@state.gov,whittakerct@state.gov,2025-04-29 03:55:49.575000+00:00,2025-04-14 13:15:53.450000+00:00,https://sam.gov/opp/e5e6c6a986214dd3b675a5db1639d0db/view
